Kecamatan,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan,,,,,,,,,,,,
Antapani,-,-,24000000,2011,Mikro,,,,,,,,,,,,
Antapani,4,-,-,2011,Mikro,,,,,,,,,,,,
Antapani,-,100000000,500000000,2011,Kecil,,,,,,,,,,,,
Antapani,3,-,-,2014,Mikro,,,,,,,,,,,,
Antapani,3,-,-,2012,Mikro,,,,,,,,,,,,
Antapani,1,15000000,60000000,2012,Mikro,,,,,,,,,,,,
Antapani,4,-,180000000,2010,Mikro,,,,,,,,,,,,
Antapani,2,15000000,40000000,2014,Mikro,,,,,,,,,,,,
Antapani,3,50000000,70000000,2014,Mikro,,,,,,,,,,,,
Antapani,5,100000000,500000000,2012,Kecil,,,,,,,,,,,,
Antapani,-,-,-,2015,Mikro,,,,,,,,,,,,
Antapani,-,17000000,24000000,2014,Mikro,,,,,,,,,,,,
Antapani,1,10000000,60000000,-,Mikro,,,,,,,,,,,,
Antapani,2,40000000,60000000,2006,Mikro,,,,,,,,,,,,
Antapani,3,32000000,120000000,2009,Mikro,,,,,,,,,,,,
Antapani,1,5000000,125000000,2015,Mikro,,,,,,,,,,,,
Antapani,-,700000000,325000000,2013,Kecil,,,,,,,,,,,,
Antapani,-,-,7000000,2005,Mikro,,,,,,,,,,,,
Antapani,6,50000000,50000000,2010,Mikro,,,,,,,,,,,,
Antapani,2,10000000,252000000,2015,Mikro,,,,,,,,,,,,
Antapani,-,4000000,-,2015,Mikro,,,,,,,,,,,,
Antapani,3,5000000,60000000,2015,Mikro,,,,,,,,,,,,
Antapani,3,-,50000000,2015,Mikro,,,,,,,,,,,,
Antapani,3,-,3000000,2015,Mikro,,,,,,,,,,,,
Antapani,-,-,75000000,2010,Mikro,,,,,,,,,,,,
Antapani,-,-,25000000,2015,Mikro,,,,,,,,,,,,
Antapani,5,10000000,50000000,2008,Mikro,,,,,,,,,,,,
Antapani,2,-,25000000,2014,-,,,,,,,,,,,,
Antapani,-,-,-,-,-,,,,,,,,,,,,
Antapani,-,-,-,-,-,,,,,,,,,,,,
Antapani,-,-,-,2008,-,,,,,,,,,,,,
Antapani,-,-,-,2017,-,,,,,,,,,,,,
Antapani,-,-,-,2017,-,,,,,,,,,,,,
Antapani,1,10000000,40000000,2014,-,,,,,,,,,,,,
Antapani,-,-,-,-,-,,,,,,,,,,,,
Antapani,4,-,-,2010,Mikro,,,,,,,,,,,,
Antapani,-,-,-,-,-,,,,,,,,,,,,
Antapani,-,-,25000000,2017,-,,,,,,,,,,,,
Antapani,2,-,25000000,2015,-,,,,,,,,,,,,
Antapani,2,-,1500000,2015,-,,,,,,,,,,,,
Antapani,5,100000000,824000000,2007,Kecil,,,,,,,,,,,,
Antapani,6,-,300000000,2013,Mikro,,,,,,,,,,,,
Antapani,-,-,-,-,-,,,,,,,,,,,,
Antapani,-,-,-,-,-,,,,,,,,,,,,
Antapani,2,50000000,25000000,2009,Mikro,,,,,,,,,,,,
Antapani,2,-,-,2012,Mikro,,,,,,,,,,,,
Antapani,2,-,-,2012,Mikro,,,,,,,,,,,,
Antapani,6,60000000,760320000,-,Kecil,,,,,,,,,,,,
Antapani,17,-,360000000,-,Kecil,,,,,,,,,,,,
Antapani,10,-,-,2007,MikroNo,,,,,,,,,,,,
Arcamanik,-,-,-,-,-,,,,,,,,,,,,
Arcamanik,3,3000000,9000000,1982,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1996,Mikro,,,,,,,,,,,,
Arcamanik,1,3000000,2400000,-,Mikro,Kecamatan,Kelurahan,Nama Perusahaan,Nama Pemilik,Alamat,Telepon / Hp,Jenis Usaha,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan
Arcamanik,0,4000000,4200000,1991,Mikro,,,,,,,,,,,,
Arcamanik,0,4000000,4200000,2001,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,9000000,1998,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1995,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1997,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1995,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1998,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,9000000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1991,Mikro,,,,,,,,,,,,
Arcamanik,0,4000000,4200000,1989,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,4000000,4200000,1992,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1993,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1999,Mikro,,,,,,,,,,,,
Arcamanik,0,4000000,4200000,1995,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1992,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1992,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1998,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1993,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1999,Mikro,,,,,,,,,,,,
