Kecamatan,Jumlah Karyawan,Aset,Omset,Lama Berdiri(Tahun),Kategori Usaha
Babakan Ciparay,1,200000000.0,18000000.0,13.0,Kecil
Babakan Ciparay,0,75000000.0,18000000.0,12.0,Kecil
Babakan Ciparay,0,80000000.0,18000000.0,21.0,Kecil
Babakan Ciparay,0,47000000.0,12000000.0,29.0,Mikro
Babakan Ciparay,0,30000000.0,8400000.0,22.0,Mikro
Babakan Ciparay,0,50000000.0,6000000.0,21.0,Mikro
Babakan Ciparay,0,1500000.0,2400000.0,37.0,Mikro
Babakan Ciparay,0,3000000.0,2400000.0,13.0,Mikro
Babakan Ciparay,0,200000.0,1560000.0,17.0,Mikro
Babakan Ciparay,0,25000000.0,1200000.0,12.0,Mikro
Babakan Ciparay,0,300000000.0,1200000.0,29.0,Kecil
Babakan Ciparay,0,300000.0,600000.0,17.0,Mikro
Babakan Ciparay,4,65000000.0,60000000.0,14.0,Kecil
Babakan Ciparay,1,7000000.0,3000000.0,12.0,Mikro
Babakan Ciparay,7,20000000.0,720000000.0,21.0,Mikro
Babakan Ciparay,12,226000000.0,800000000.0,14.0,Kecil
Babakan Ciparay,2,30000000.0,24000000.0,10.0,Mikro
Babakan Ciparay,3,100000000.0,160000000.0,16.0,Mikro
Babakan Ciparay,2,5000000.0,50000000.0,7.0,Mikro
Babakan Ciparay,10,20000000.0,120000000.0,6.0,Mikro
Babakan Ciparay,10,20000000.0,120000000.0,6.0,Mikro
Babakan Ciparay,1,10000000.0,75000000.0,12.0,Mikro
Babakan Ciparay,1,10000000.0,75000000.0,12.0,Mikro
Babakan Ciparay,3,100000000.0,400000000.0,7.0,Kecil
Babakan Ciparay,5,500000000.0,500000000.0,5.0,Kecil
Babakan Ciparay,1,5000000.0,36000000.0,5.0,Mikro
Bandung Kidul,0,10000000.0,2400000.0,28.0,Mikro
Bandung Kidul,1,3000000.0,4200000.0,17.0,Mikro
Bandung Kidul,2,3000000.0,2400000.0,20.0,Mikro
Bandung Kidul,1,3000000.0,9000000.0,21.0,Mikro
Bandung Kidul,1,2400000.0,4200000.0,18.0,Mikro
